PCoA1,PCoA2,Sample,Group
0.4154075598365436,0.005554752318314313,Sham-1,Sham
0.3937588648448363,-0.048362314690290516,Sham-2,Sham
0.4065853460732578,-0.10757704380261764,Sham-3,Sham
-0.1989677945071283,-0.00847180991809521,HS2W-1,HS2W
-0.15597780559120092,-0.09016936488024305,HS2W-2,HS2W
-0.17061689133796853,0.0028468946415131004,HS2W-3,HS2W
-0.19242531390263262,0.022579374319457456,HS2W-4,HS2W
-0.18531491802934047,0.042439071348810836,HS2W-5,HS2W
-0.018264836904309523,-0.3201846666810807,HS6W-1,HS6W
-0.1276690554519189,-0.04094361065363629,HS6W-2,HS6W
-0.058841746073526546,-0.26837197430333265,HS6W-3,HS6W
-0.10592547420674345,-0.05690638738920572,HS6W-4,HS6W
-0.045116987175812126,-0.11983872059899986,HS6W-5,HS6W
-0.08660473763690868,-0.08798964308112281,HS6W-6,HS6W
0.3446040211409788,0.16259559263605855,Sham10W-4,Sham10W
0.38211238992785895,0.11195152257654459,Sham10W-5,Sham10W
0.37279393285752915,0.1005679154264304,Sham10W-6,Sham10W
0.3842601530649174,-0.09179983611733493,SS10W-1,SS10W
0.3855077285453119,-0.20880679732456547,SS10W-2,SS10W
0.32636693746857376,0.020045501836405993,SS10W-3,SS10W
0.34177730346368007,-0.08564699048703445,SS10W-4,SS10W
0.25803070272419465,0.3490987671324177,SS10W-5,SS10W
0.28656916298743457,0.2651785209475723,SS10W-6,SS10W
-0.16125592932397048,0.21442770496154084,HFD10W-1,HFD10W
-0.10912137150558725,0.22180205876516076,HFD10W-2,HFD10W
-0.1242123326563526,0.11610044940610538,HFD10W-3,HFD10W
-0.19121457983687865,0.0670177414765774,HFD10W-4,HFD10W
-0.17127986898098804,0.029992600026158917,HFD10W-5,HFD10W
-0.19406423204188603,0.06625194715706006,HFD10W-6,HFD10W
-0.0884345746722322,-0.13116012378878067,HS10W-1,HS10W
-0.1046367058212842,-0.07969771992617344,HS10W-2,HS10W
-0.12494765930617929,-0.022023788646165002,HS10W-3,HS10W
-0.13067323925400787,-0.0018799121047144035,HS10W-4,HS10W
-0.07087630528813496,-0.18665632740745827,HS10W-5,HS10W
-0.08027179192600496,-0.1840063539201369,HS10W-6,HS10W
-0.13702559107047776,-0.014069058628843683,HS10WGaE9-1,HS10WGaE9
-0.05590988620534787,-0.20692195516309986,HS10WGaE9-2,HS10WGaE9
-0.14695933425702387,0.06284105087269687,HS10WGaE9-3,HS10WGaE9
-0.003407398320195045,0.07688903643769018,HS10WGaE9-4,HS10WGaE9
-0.0642239021123246,-0.11451581205472082,HS10WGaE9-5,HS10WGaE9
-0.21953458793470967,0.2639394094512125,HS10WGaE10-1,HS10WGaE10
-0.18712692274629944,0.08305089773010242,HS10WGaE10-2,HS10WGaE10
-0.19588755785372336,0.10164178193305609,HS10WGaE10-3,HS10WGaE10
-0.17950690699976074,0.05025912842075855,HS10WGaE10-4,HS10WGaE10
-0.21147786400425686,0.03892849174600719,HS10WGaE10-5,HS10WGaE10
